Global Volcanism Program - Volcanoes of the World 4.8.6,,,,Downloaded on 05 Mar 2020 at 08:30 AM,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
211020,Vesuvius,"Santacroce R , Cioni R, Marianelli P, Sbrana A, Sulpizio R, Zanchetta G, Donahue D J, Joron J L",2008,Age and whole rock-glass compositions of proximal pyroclastics from the major explosive eruptions of Somma-Vesuvius: a review as a tool for distal tephrochronology,"J. Volcanol. Geotherm. Res., 177: 1-18"
211020,Vesuvius,"Scandone R, Giacomelli L, Speranza F F",2008,Persistent activity and violent strombolian eruptions at Vesuvius between 1631 and 1944,"J. Volcanol. Geotherm. Res., 170: 167-180"
211020,Vesuvius,"Sulpizio R, Bonasia R, Dellino P, Mele D, Di Vito M A, La Volpe L",2010,The Pomici di Avellino eruption of Somma-Vesuvius (3.9 ka BP). Part II: sedimentology and physical volcanology of pyroclastic density current deposits,"Bull Volcanol, 72: 559-577"
211020,Vesuvius,"Sulpizio R, Cioni R, Di Vito M A, Mele D, Bonasia R, Dellino P",2010,"The Pomici di Avellino eruption of Somma-Vesuvius (3.9 ka BP). Part I: stratigraphy, compositional variability and eruptive dynamics","Bull Volcanol, 72: 539-558"
211020,Vesuvius,"Sulpizio R, Mele D, Dellino P, La Volpe L",2005,"A complex, subplinian-type eruption from low-viscosity, phonolitic to tephri-phonolitic magma: the AD 472 (Pollena) eruption of Somma-Vesuvius","Bull Volcanol, 67: 743-767"
211020,Vesuvius,"Trigila R, De Benedetti A A",1993,Petrogenesis of Vesuvius historical lavas constrained by Pearce element ratios analysis and experimental phase equilibria,"J. Volcanol. Geotherm. Res., 58: 315-343"
211030,Ischia,"Acocella V, Funiciello R",1999,"The interaction between regional and local tectonics during resurgent doming: the case of the island of Ischia, Italy","J. Volcanol. Geotherm. Res., 88: 109-123"
211030,Ischia,"Brown R J, Orsi G, de Vita S",2008,New insights into Late Pleistocene explosive volcanic activity and caldera formation on Ischia (southern Italy),"Bull Volcanol, 70: 583-603"
211030,Ischia,"Capaldi G, Civetta L, Gasparini P",1976-77,Volcanic history of the island of Ischia (south Italy),"Bull Volcanol, 40: 11-22"
211030,Ischia,"Chiocci F L, de Alteriis G",2006,The Ischia debris avalanche: first clear submarine evidence in the Mediterranean of a volcanic island prehistorical collapse,"Terra Nova, 18: 202-209"
211030,Ischia,Imbo G,1965,Italy,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 18: 1-72"
211030,Ischia,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
211030,Ischia,Krafft M,1974,Guide des Volcans d'Europe,"Neuchatel: Delachaux & Niestle, 412 p"
211030,Ischia,"Lucchi F, Tranne C A, De Astis G, Keller J, Losito R, Morche W",2008,Stratigraphy and significance of Brown Tuffs on the Aeolian Islands (southern Italy),"J. Volcanol. Geotherm. Res., 177: 49-70"
211030,Ischia,"Manzo M, Ricciardi G P, Casu F, Ventura G, Zeni G, Borgstrom S, Berardino P, Del Gaudio C, Lanzari R",2006,Surface deformation analysis in the Ischia Island (Italy) based on spaceborne radar interferometry,"J. Volcanol. Geotherm. Res., 151: 399-416"
211030,Ischia,"Molin P, Acocella V, Funiciello R",2003,"Structural, seismic and hydrothermal features at the border of an active intermittent resurgent block: Ischia Island (Italy)","J. Volcanol. Geotherm. Res., 121: 65-81"
211030,Ischia,"Orsi G, Gallo G, Heiken G, Wohletz K, Yu E, Bonani G",1992,A comprehensive study of pumice formation and dispersal: the Cretaio Tephra of Ischia (Italy),"J. Volcanol. Geotherm. Res., 53: 329-354"
211030,Ischia,"Orsi G, Gallo G, Zanchi A",1991,Simple-shearing block resurgence in caldera depressions. A model from Pantelleria and Ischia,"J. Volcanol. Geotherm. Res., 47: 1-11"
211030,Ischia,"Orsi G, Piochi M, Campajola L, D'Onofrio A, Gialanella L, Terrasi F",1996,14C geochronological constraints for the volcanic history of the island of Ischia (Italy) over the last 5000 years,"J. Volcanol. Geotherm. Res., 71: 249-257"
211030,Ischia,Peccerillo A,2005,Plio-Quaternary Volcanism in Italy,"Berlin: Springer, 365 p"
211030,Ischia,"Poli S, Chiesa S, Gillot P-Y, Gregnanin A, Guichard F",1987,"Chemistry versus time in the volcanic complex of Ischia (Gulf of Naples, Italy): evidence of successive magmatic cycles","Contr Mineral Petr, 95: 322-335"
211030,Ischia,"Slejko F F, Petrini R, Orsi G, Piochi M, Forte C",2004,"Water speciation and Sr isotopic exchange during water--melt interaction: a combined NMR-TIMS study on the Cretaio Tephra (Ischia Island, south Italy)","J. Volcanol. Geotherm. Res., 133: 311-320"
211030,Ischia,Vezzoli L,1986,Geologic Map of the Island of Ischia,"CNR Progetto Finalizzato Geodinamica, Rome"
211030,Ischia,"Vezzoli L, Principe C, Malfatti J, Arrighi S, Tanguy J-C, Le Goff M",2009,"Modes and times of caldera resurgence: the <10 ka evolution of ischia caldera, Italy, from high-precision archeomagnetic dating","J. Volcanol. Geotherm. Res., 186: 305-319"
211031,Palinuro,"Colantoni P, Lucchini F, Rossi P L, Sartori R, Savelli C",1981,The Palinuro volcano and magmatism of the southeastern Tyrrhenian Sea (Mediterranean),"Marine Geol, 39: 1-12"
211031,Palinuro,"Siani G, Sulpizio R, Paterne M, Sbrana A",2004,"Tephrostratigraphy study for the last 18,000 14C years in a deep-sea sediment sequence for the South Adriatic","Quat Sci Rev, 23: 2485-2500"
211040,Stromboli,"Andronico D, Pistolesi M",2010,The November 2009 paroxysmal explosions at Stromboli,"J. Volcanol. Geotherm. Res., 196: 120-125"
211040,Stromboli,"Arrighi S, Rosi M, Tanguy J-C, Courtillot V",2004,"Recent eruptive history of Stromboli (Aeolian Islands, Italy) determined from high-accuracy archeomagnetic dating","Geophysical Research Letters, 35: L19603"
211040,Stromboli,"Baldi P, Coltelli M, Fabris M, Marsella M, Tommasi P",2008,High precision photogrammetry for monitoring the evolution of the NW flank of Stromboli volcano during and after the 2002-2003 eruption,"Bull Volcanol, 70: 703-715"
211040,Stromboli,"Barberi F, Civetta L, Rosi M, Scandone R",2009,Chronology of the 2007 eruption of Stromboli and the activity of the Scientific Synthesis Group,"J. Volcanol. Geotherm. Res., 182: 123-130"
211040,Stromboli,"Barberi F, Rosi M, Sodi A",1993,Volcanic hazard assessment at Stromboli based on review of historical data,"Acta Vulc, 3: 173-187"
211040,Stromboli,"Bertagnini A, Landi P",1996,The Secche di Lazzaro pyroclastics of Stromboli volcano: a phreatomagmatic eruption related to the Sciara del Fuoco sector collapse,"Bull Volcanol, 58: 239-245"
211040,Stromboli,"Bosman A , Chiocci F L, Romagnoli C",2009,Morpho-structural setting of Stromboli volcano revealed by high-resolution bathymetry and backscatter data of its submarine portions,"Bull Volcanol, 71: 1007-1019"
211040,Stromboli,"Calvari S, Spampinato L, Lodato L",2006,The 5 April 2003 vulcanian paroxysmal explosion at Stromboli volcano (Italy) from field observations and thermal data,"J. Volcanol. Geotherm. Res., 149: 160-175"
211040,Stromboli,"Cortes J A, Wilson M, Condliffe E, Francalanci L, Chertkoff D G",2005,The evolution of the magmatic system of Stromboli volcano during the Vancori period (26-13.8 ky),"J. Volcanol. Geotherm. Res., 147: 1-38"
211040,Stromboli,"Di Roberto A, Bertagnini A, Pompilio M, Gamberi F, Marani M P",2008,"Newly discovered submarine flank eruption at Stromboli volcano (Aeolian Islands, Italy)","Geophysical Research Letters, 35: L16310"
211040,Stromboli,"Di Roberto A, Bertagnini A, Pompilio M, Gamberi F, Marani M P, Rosi A M",2008,"Newly discovered submarine flank eruption at Stromboli volcano (Aeolian Islands, Italy)","Geophysical Research Letters, 35: L16310"
211040,Stromboli,"Favalli M, Karatson D, Mazzuoli R, Pareschi M T, Ventura G",2005,Volcanic geomorphology and tectonics of the Aeolian archipelago (Southern Italy) based on integrated DEM data,"Bull Volcanol, 68: 157-170"
211040,Stromboli,"Finizola A, Sortino F, Lenat J-F, Aubert M, Ripepe M, Valenza M",2003,"The summit hydrothermal system of Stromboli. New insights from self-potential, temperature, CO2 and fumarolic fluid measurements, with structural and monitoring implications","Bull Volcanol, 65: 486-504"
211040,Stromboli,"Francalanci L, Tommasini S, Conticelli S",2004,"The volcanic activity of Stromboli in the 1906-1998 AD period: mineralogical, geochemical and isotope data relevant to the understanding of the plumbing problem","J. Volcanol. Geotherm. Res., 131: 179-211"
211040,Stromboli,"Gabbianelli G, Romagnoli C, Rossi P L, Calanchi N",1993,"Marine geology of the Panarea - Stromboli area (Aeolian Archipelago, southeastern Tyrrhenian Sea)","Acta Vulc, 3: 11-20"
211040,Stromboli,"Gillot P-Y, Keller J",1993,Radiochronological dating of Stromboli,"Acta Vulc, 3: 69-77"
211040,Stromboli,"Giordano G, Porreca M, Musacchio P, Mattei M",2008,"The Holocene Secche de Lazzaro phreatomagmatic succession (Stromboli, Italy): evidence of pyroclastic density current origin deduced by facies analysis and AMS flow directions","Bull Volcanol, 70: 1221-1236"
211040,Stromboli,"Green J, Short N M",1971,Volcanic Landforms and Surface Features: a Photographic Atlas and Glossary,"New York: Springer-Verlag, 519 p"
211040,Stromboli,"Harris A, Dehn J, Patrick M, Calvari S, Ripepe M, Lodato L",2005,Lava effusion rates from hand-held thermal infrared imagery: an example from the June 2003 effusive activity at Stromboli,"Bull Volcanol, 68: 107-117"
211040,Stromboli,"Hornig-Kjarsgaard I, Keller J, Koberski U, Stadlbauer E, Francalanci L, Lenhart R",1993,"Geology, stratigraphy and volcanological evolution of the island of Stromboli, Aeolian arc, Italy","Acta Vulc, 3: 21-68"
211040,Stromboli,Imbo G,1965,Italy,"Catalog of Active Volcanoes of the World and Solfatara Fields, Rome: IAVCEI, 18: 1-72"
211040,Stromboli,"Kokelaar, Romagnoli C",1995,"Sector collapse, sedimentation and clast population evolution at an active island-arc volcano: Stromboli, Italy","Bull Volcanol, 57: 240-262"
211040,Stromboli,"Landi P, Francalanci L, Pompilio M, Rosi M, Corsaro R A, Petrone C M, Nardini I, Miraglia L",2006,"The December 2002-July 2003 effusive event at Stromboli volcano, Italy: insights into the shallow plumbing system by petrochemical studies","J. Volcanol. Geotherm. Res., 155: 263-284"
211040,Stromboli,"Lodato L, Spampinato L, Harris A, Calvari S, Dehn J, Patrick M",2007,The morphology and evolution of the Stromboli 2002-2003 lava flow field: an example of a basaltic flow field emplaced on a steep slope,"Bull Volcanol, 69: 661-679"
211040,Stromboli,"McGregor A D, Lees J M",2004,"Vent discrimination at Stromboli volcano, Italy","J. Volcanol. Geotherm. Res., 137: 169-185"
211040,Stromboli,"Pasquare G, Francalanci L, Garduno V H, Tibaldi A",1993,"Structure and geologic evolution of the Stromboli volcano, Aeolian Islands, Italy","Acta Vulc, 3: 79-89"
211040,Stromboli,"Quidelleur X, Gillot P-Y, Filoche G, Lefevre J-C",2005,Fast geochemical changes and rapid lava accumulation at Stromboli Island (Italy) inferred from K-Ar dating and paleomagnetic variations recorded at 60 and 40 ka,"J. Volcanol. Geotherm. Res., 141: 177-193"
211040,Stromboli,"Renzulli A, Santi P",1997,"Sub-volcanic crystallization of Stromboli (Aeolian Islands, southern Italy) preceding the Sciara del Fuoco sector collapse: evidence from monzonite lithic suite","Bull Volcanol, 59: 10-20"
211040,Stromboli,"Romagnoli C, Kokelaar P, Rossi P L, Sodi A",1993,The submarine extension of Sciara del Fuoco feature (Stromboli Is.): morphologic characterization,"Acta Vulc, 3: 91-98"
211040,Stromboli,Rosi M,1980,Isola Stromboli,"Rendiconti Soc Italiana Min Petr, 36: 345-368"
211040,Stromboli,"Rosi M, Bertagnini A, Landi P",2000,Onset of the persistent activity at Stromboli volcano (Italy),"Bull Volcanol, 62: 294-300"
211040,Stromboli,"Speranza F, Pompilio M, D'Ajello Caracciolo F, Sagnoti L",2008,Holocene eruptive history of the Stromboli volcano: constraints from paleomagnetic dating,"J. Geophys. Res, 113: B09101"
211040,Stromboli,"Tanner L H, Calvari S",2004,"Unusual sedimentary deposits on the SE side of Stromboli volcano, Italy: products of a tsunami caused by the ca. 5000 years BP Sciara del Fuoco collapse?","J. Volcanol. Geotherm. Res., 137: 329-340"
211040,Stromboli,Tibaldi A,2001,"Multiple sector collapses at Stromboli volcano, Italy: how they work","Bull Volcanol, 63: 112-125"
211040,Stromboli,Tibaldi A,2003,"Influence of cone morphology on dykes, Stromboli, Italy","J. Volcanol. Geotherm. Res., 126: 79-95"
211040,Stromboli,"Tinti S, Maramai A, Armigliato A, Granziani L, Manucci A, Pagnoni G, Zaniboni F",2006,"Observations of physical effects from tsunamis of December 30, 2002 at Stromboli volcano, southern Italy","Bull Volcanol, 68: 450-461"
211042,Lipari,"Cortese M, Frazzetta G, La Volpe L",1986,"Volcanic history of Lipari (Aeolian Islands, Italy) during the last 10,000 years","J. Volcanol. Geotherm. Res., 27: 117-135"
211042,Lipari,"Crisci G M, De Rosa R, Esperanca S, Mazzuoli R, Sonnino M",1991,"Temporal evolution of a three component system: the island of Lipari (Aeolian Arc, southern Italy)","Bull Volcanol, 53: 207-221"
211042,Lipari,"Davi M, De Rosa R, Barca D",2009,"A LA-ICP-MS study of minerals in the Rocche Rosse magmatic enclaves: evidence of a mafic input triggering the latest silicic eruption of Lipari Island (Aeolian Arc, Italy)","J. Volcanol. Geotherm. Res., 182: 45-56"
211042,Lipari,"De Rosa R, Donato P, Gioncada A, Masetti M, Santacroce R",2003,"The Monte Guardia eruption (Lipari, Aeolian Islands): an example of a reversely zoned magma mixing sequence","Bull Volcanol, 65: 530-543"
211042,Lipari,"De Rosa R, Guillou H, Mazzuoli R, Ventura G",2003,New unspiked K-Ar ages of volcanic rocks of the central and western sector of the Aeolian Islands: reconstruction of the volcanic stages,"J. Volcanol. Geotherm. Res., 120: 161-178"
211042,Lipari,"Dellino P, La Volpe L",1995,"Fragmentation versus transportation mechanism in the pyroclastic sequence of Monte Pilato-Rocche Rosse (Lipari, Italy)","J. Volcanol. Geotherm. Res., 64: 211-231"
211042,Lipari,"Develle A-L, Williamson D, Gasse F, WAtler-Simonnet W",2009,Early Holocene volcanic ash fallout in the Yammouneh lacustric basin (Lebanon): tephrochronological implications for the Near East,"J. Volcanol. Geotherm. Res., 186: 416-425"
211042,Lipari,"Di Martino C, Frezzotti M L, Lucchi F, Peccerillo A, Tranne C A, Diamond L W",2010,"Magma storage and ascent at Lipari Island (Aeolian archipelago, Southern Italy) at 223-81 ka: the role of crustal processes and tectonic influence","Bull Volcanol, 72: 1061-1076"
211042,Lipari,"Favalli M, Karatson D, Mazzuoli R, Pareschi M T, Ventura G",2005,Volcanic geomorphology and tectonics of the Aeolian archipelago (Southern Italy) based on integrated DEM data,"Bull Volcanol, 68: 157-170"
211042,Lipari,Gamberi F,2001,"Volcanic facies associations in a modern volcaniclastic apron (Lipari and Vulcano offshore, Aeolian Island Arc)","Bull Volcanol, 63: 264-273"
211042,Lipari,"Gioncada A, Mazzuoli R, Bisson M, Pareschi M T",2003,"Petrology of volcanic products younger than 42 ka on the Lipari-Vulcano complex (Aeolian Islands, Italy): an example of volcanism controlled by tectonics","J. Volcanol. Geotherm. Res., 122: 191-220"
211042,Lipari,"Italiano F, Nuccio P M",1991,Preliminary investigations on the underwater gaseous manifestations of Vulcano and Lipari,"Acta Vulc, 1: 243-248"
211042,Lipari,Katsui Y (ed),1971,List of the World Active Volcanoes,"Volc Soc Japan draft ms, (limited circulation), 160 p"
211042,Lipari,Keller J,1970,Die Historischen Eruptionen von Vulcano und Lipari,"Zeit Deut Geol Ges, 121: 179-185"
211042,Lipari,Pichler H,1980,The island of Lipari,"Rendiconti Soc Italiana Min Petr, 36: 415-440"
211042,Lipari,"Siani G, Sulpizio R, Paterne M, Sbrana A",2004,"Tephrostratigraphy study for the last 18,000 14C years in a deep-sea sediment sequence for the South Adriatic","Quat Sci Rev, 23: 2485-2500"
211042,Lipari,"Tanguy J C, Le Goff M, Principe C, Arrighi S, Chillemi V, Paiotti A, La Delfa S, Patane G",2003,Archeomagnetic dating of Mediterranean volcanics of the last 2100 years: validity and limits,"Earth Planet Sci Lett, 211: 111-124"
211050,Vulcano,"Arrighi S, Tanguy J-C, Rosi M",2006,"Eruptions of the last 2200 years at Vulcano and Vulcanello (Aeolian Islands, Italy) dated by high-accuracy archeomagnetism","Phys Earth Planet Int, 159: 225-233"
211050,Vulcano,"Blanco-Montenegro I, De Ritis R, Chiappini M",2007,"Imaging and modelling the subsurface structure of volcanic calderas with high-resolution aeromagnetic data at Vulcano (Aeolian Islands, Italy)","Bull Volcanol, 69: 643-659"
211050,Vulcano,"Chiodini G, Cioni R, Guidi M, Marini L",1991,"Geochemical variations at Fossa Grande crater fumaroles (Vulcano Island, Italy) in summer 1988","Acta Vulc, 1: 179-192"
211050,Vulcano,"Clocchiatti R, Del Moro A, Gioncada A, Joron J L, Mosbah M, Pinarelli L, Sbrana A",1994,"Assessment of a shallow magmatic system: the 1888-90 eruption, Vulcano Island, Italy","Bull Volcanol, 56: 466-486"
211050,Vulcano,"De Astis G, Dellino P, De Rosa R, La Volpe L",1997,Eruptive and emplacement mechanisms of widespread fine-grained pyroclatic deposits on Vulcano Island (Italy),"Bull Volcanol, 59: 87-102"
211050,Vulcano,"De Astis G, La Volpe L",1997,"Volcanological and petrological evolution of Vulcano island (Aeolian Arc, southern Tyrrhenian Sea)","J. Geophys. Res, 102: 8021-8050"
211050,Vulcano,"De Rosa R, Guillou H, Mazzuoli R, Ventura G",2003,New unspiked K-Ar ages of volcanic rocks of the central and western sector of the Aeolian Islands: reconstruction of the volcanic stages,"J. Volcanol. Geotherm. Res., 120: 161-178"
211050,Vulcano,"Favalli M, Karatson D, Mazzuoli R, Pareschi M T, Ventura G",2005,Volcanic geomorphology and tectonics of the Aeolian archipelago (Southern Italy) based on integrated DEM data,"Bull Volcanol, 68: 157-170"
211050,Vulcano,"Frazzetta G, Gillot P Y, La Volpe L, Sheridan M F",1984,Volcanic hazards at Fossa of Vulcano: data from the last 6000 years,"Bull Volcanol, 47: 105-125"
211050,Vulcano,"Frazzetta G, La Volpe L",1991,"Volcanic history and maximum expected eruption at ""La Fossa de Vulcano"" (Aeolian Islands, Italy)","Acta Vulc, 1: 107-113"
211050,Vulcano,"Frazzetta G, La Volpe L, Sheridan M F",1983,"Evolution of the Fossa cone, Vulcano","J. Volcanol. Geotherm. Res., 17: 329-360"
211050,Vulcano,Gamberi F,2001,"Volcanic facies associations in a modern volcaniclastic apron (Lipari and Vulcano offshore, Aeolian Island Arc)","Bull Volcanol, 63: 264-273"
211050,Vulcano,Gehring I,2004,"The use of grain-size dependent magnetic susceptibility and gamma-ray measurements for the detailed reconstruction of volcanostratigraphy: the case of La Fossa di Vulcano, S. Italy","J. Volcanol. Geotherm. Res., 138: 163-183"
211050,Vulcano,"Gioncada A, Mazzuoli R, Bisson M, Pareschi M T",2003,"Petrology of volcanic products younger than 42 ka on the Lipari-Vulcano complex (Aeolian Islands, Italy): an example of volcanism controlled by tectonics","J. Volcanol. Geotherm. Res., 122: 191-220"
